year,primary_energy_consumption,electricity_demand,fossil_share_energy,low_carbon_share_energy,renewables_share_energy,solar_share_energy,wind_share_energy,carbon_intensity_elec
2000,110416.4,15278.78,86.04,13.96,7.43,0.0,0.08,527.26
2001,111493.29,15500.83,86.21,13.79,7.18,0.0,0.1,529.25
2002,113894.43,16049.89,86.29,13.71,7.19,0.0,0.13,532.3
2003,117849.6,16628.01,86.89,13.11,6.98,0.01,0.15,544.55
2004,123841.74,17414.99,86.77,13.23,7.15,0.01,0.19,539.43
2005,127936.72,18134.08,86.96,13.04,7.19,0.01,0.22,543.38
2006,131481.2,18838.99,86.93,13.07,7.34,0.01,0.27,546.4
2007,135617.98,19713.96,87.2,12.8,7.38,0.02,0.34,554.66
2008,137229.41,20102.64,86.85,13.15,7.85,0.02,0.43,547.7
2009,135033.22,19943.51,86.56,13.44,8.16,0.04,0.54,543.49
2010,141602.05,21263.75,86.51,13.49,8.37,0.06,0.64,543.85
2011,144913.3,21972.03,86.68,13.32,8.55,0.12,0.79,550.21
2012,147002.42,22515.66,86.68,13.32,8.96,0.18,0.94,548.14
2013,149599.73,23155.03,86.35,13.65,9.37,0.24,1.09,548.36
2014,151239.17,23747.07,85.97,14.03,9.73,0.33,1.2,544.73
2015,152357.62,24002.35,85.69,14.31,10.0,0.43,1.39,533.38
2016,154221.48,24694.51,85.28,14.72,10.43,0.54,1.58,525.3
2017,157625.31,25441.04,85.0,15.0,10.79,0.71,1.82,522.04
2018,161806.12,26464.49,84.62,15.38,11.2,0.89,1.97,518.51
2019,163694.61,26832.42,84.09,15.91,11.65,1.08,2.17,505.75
2020,157993.89,26723.37,82.98,17.02,12.78,1.35,2.51,492.11
2021,166043.5,28259.07,82.95,17.05,12.86,1.57,2.78,494.81
2022,169061.53,28917.76,82.57,17.43,13.5,1.94,3.09,489.52
2023,172238.78,29665.34,82.15,17.85,13.94,2.36,3.32,483.18
2024,176737.09,30930.23,81.26,18.74,14.82,2.94,3.49,471.08
